phrase  length  count
watson  1 3719
fisher  1 3712
plantation  1 3708
all   1 3706
edwards   1 3700
avenue nw   2 3700
court southeast   2 3699
fair  1 3698
volunteer   1 3691
joe   1 3688
madison street  2 3684
webster   1 3681
bird  1 3680
oregon  1 3671
fir   1 3658
extension   1 3657
vine street   2 3651
florence  1 3650
institute   1 3648
linda   1 3647
lexington   1 3645
sage  1 3642
ramp  1 3639
spencer   1 3639
cross road  2 3635
ben   1 3632
navajo route  2 3630
on  1 3620
burger king   2 3614
jordan  1 3614
the church  2 3610
harmony   1 3607
woodside  1 3606
reed  1 3602
horseshoe   1 3602
ellis   1 3600
church of jesus   3 3591
spring road   2 3589
bedford   1 3584
michigan  1 3577
christian church  2 3569
of jesus christ   3 3569
sky   1 3567
arlington   1 3559
hill church   2 3559
oak grove   2 3557
canterbury  1 3552
alpine  1 3547
lake street   2 3544
lakewood  1 3544
lancaster   1 3541
peter   1 3538
henderson   1 3537
church of jesus christ  4 3534
churchill   1 3530
lafayette   1 3526
primrose  1 3524
lenina  1 3522
christ of   2 3522
grove street  2 3518
sunny   1 3516
dean  1 3514
grant street  2 3511
carriage  1 3510
farm lane   2 3505
assembly  1 3505
brooks  1 3498
mallard   1 3497
winchester  1 3495
moon  1 3494
poplar street   2 3492
well  1 3490
the church of   3 3485
sweet   1 3485
marys   1 3473
kingston  1 3471
cameron   1 3465
town hall   2 3464
beacon  1 3462
wesley  1 3459
lane northwest  2 3457
bennett   1 3456
barton  1 3454
at  1 3444
powell  1 3437
fields  1 3434
care  1 3433
may   1 3431
business  1 3427
delaware  1 3425
missionary baptist  2 3422
sheridan  1 3421
taco  1 3419
avenue court  2 3409
preston   1 3407
green street  2 3405
highland avenue   2 3404
boston  1 3403
shore road  2 3402
clifton   1 3398
sam   1 3396
ray   1 3394
green road  2 3393
parkview  1 3391
grand avenue  2 3390
missionary baptist church   3 3389
jesus christ of   3 3388
peters  1 3380
mead  1 3374
bishop  1 3370
kfc   1 3369
whispering  1 3368
white oak   2 3368
dover   1 3367
states highway  2 3362
crest drive   2 3354
clear   1 3353
united states highway   3 3353
victory   1 3352
short street  2 3347
of jesus christ of  4 3345
church of jesus christ of   5 3342
pool  1 3340
new road  2 3337
willow street   2 3334
winter  1 3333
pheasant  1 3332
monroe street   2 3329
california  1 3328
milton  1 3326
mobile  1 3317
heart   1 3316
pine drive  2 3312
hayes   1 3308
margaret  1 3306
elmwood   1 3305
dry   1 3305
north avenue  2 3302
carmel  1 3281
patterson   1 3281
new york  2 3277
view court  2 3276
andrew  1 3276
cross street  2 3275
holland   1 3275
oriental medicine   2 3275
trunk   1 3270
dixie   1 3269
johnson road  2 3269
lane north  2 3266
beechwood   1 3265
hunt  1 3265
the church of jesus   4 3264
theatre   1 3264
landing road  2 3263
the church of jesus christ  5 3258
woods drive   2 3258
interstate  1 3251
good  1 3251
william street  2 3251
frank   1 3251
latter-day  1 3246
block   1 3245
village drive   2 3245
bristol   1 3236
moor  1 3234
turkey  1 3234
jay   1 3233
latter-day saints   2 3233
texas   1 3224
of latter-day   2 3224
rosewood  1 3222
division street   2 3222
of latter-day saints  3 3221
verde   1 3221
newport   1 3220
canada  1 3219
tunnel  1 3218
christ of latter-day  3 3215
marine  1 3212
jesus christ of latter-day  4 3212
christ of latter-day saints   4 3212
jesus christ of latter-day saints   5 3210
of jesus christ of latter-day   5 3209
louis   1 3209
sutton  1 3200
alder   1 3200
mark  1 3199
forest route  2 3198
oriental medicine clinic  3 3192
food  1 3187
provincial road   2 3186
box   1 3183
iron  1 3173
farms   1 3168
penn  1 3167
american  1 3163
volunteer fire  2 3162
mount zion  2 3162
porter  1 3162
lost  1 3159
tower road  2 3156
wayne   1 3154
grey  1 3152
dam road  2 3152
atlantic  1 3150
eden  1 3150
providence  1 3145
college street  2 3144
center drive  2 3143
hill cemetery   2 3143
pub   1 3142
park place  2 3140
sterling  1 3140
fawn  1 3140
south county  2 3134
west county   2 3131
kaido   1 3128
florida   1 3122
duncan  1 3119
mount pleasant  2 3119
wall  1 3118
crawford  1 3118
woodlands   1 3117
v   1 3115
smith street  2 3108
belle   1 3106
shaw  1 3106
terminal  1 3104
victoria street   2 3098
pearl street  2 3095
tavern  1 3095
dallas  1 3092
marina  1 3090
woodlawn  1 3086
pierce  1 3082
birch street  2 3078
gateway   1 3077
pinewood  1 3074
los   1 3074
tyler   1 3068
columbus  1 3067
four  1 3064
shores  1 3062
secondary school  2 3057
tom   1 3056
china   1 3054
windy   1 3052
life  1 3044
richard   1 3041
embassy   1 3040
glendale  1 3038
stoney  1 3036
stevens   1 3033
hart  1 3026
lenina street   2 3023
river street  2 3023
somerset  1 3015
coral   1 3014
glenn   1 3012
wilson street   2 3011
junction  1 3008
midway  1 3005
run drive   2 3004
daniel  1 2993
brighton  1 2988
cascade   1 2986
harrison street   2 2986
lakeshore drive   2 2982
bradford  1 2977
rice  1 2976
preserve  1 2970
happy   1 2968
echo  1 2967
bass  1 2966
carlton   1 2964
acorn   1 2962
cole  1 2956
free  1 2955
kensington  1 2952
a street  2 2951
tree road   2 2949
community church  2 2946
five  1 2946
regional  1 2945
winding   1 2941
pebble  1 2938
oak avenue  2 2936
ruby  1 2930
norman  1 2926
medical center  2 2925
brown road  2 2921
copper  1 2918
polk  1 2910
warwick   1 2908
springs drive   2 2904
curtis  1 2900
independence  1 2899
georgia   1 2897
bay drive   2 2896
forrest   1 2894
harvey  1 2889
crestview   1 2888
duke  1 2883
arnold  1 2879
elizabeth street  2 2876
glen drive  2 2874
ridgewood   1 2873
bible   1 2871
fulton  1 2869
fellowship  1 2867
saddle  1 2866
briarwood   1 2863
anthony   1 2860
boulder   1 2859
princess  1 2859
no.   1 2858
fs  1 2854
richardson  1 2854
roy   1 2847
national highway  2 2847
arrowhead   1 2847
apache  1 2847
services  1 2846
bp  1 2838
beverly   1 2838
courthouse  1 2837
shiloh  1 2836
our lady  2 2836
price   1 2833
round   1 2832
delta   1 2831
grande  1 2827
ford road   2 2827
memorial drive  2 2826
murphy  1 2822
third   1 2820
gap road  2 2819
walton  1 2815
shady lane  2 2814
wind  1 2813
garage  1 2813
sunnyside   1 2806
centennial  1 2805
manchester  1 2801
bayview   1 2800
windmill  1 2797
parkside  1 2795
kansas  1 2791
entrance  1 2790
lawn  1 2790
durham  1 2788
oliver  1 2783
barnes  1 2783
new hope  2 2780
lilac   1 2779
burton  1 2779
essex   1 2778
maplewood   1 2778
bryant  1 2777
mine road   2 2776
jones road  2 2769
jersey  1 2768
duck  1 2768
bull  1 2758
granite   1 2756
miller road   2 2756
clark street  2 2756
campground  1 2753
gibson  1 2751
huntington  1 2749
bob   1 2748
meadow road   2 2744
meridian  1 2742
indiana   1 2741
monte   1 2738
zion church   2 2738
pine road   2 2738
sharon  1 2736
government  1 2732
kentucky  1 2731
cabin   1 2730
brook drive   2 2729
reynolds  1 2726
saint johns   2 2724
chicken   1 2722
u   1 2720
university of   2 2720
shannon   1 2715
albany  1 2715
baldwin   1 2714
cape  1 2712
lookout   1 2703
plant   1 2702
holiday   1 2701
patrick   1 2698
lane southeast  2 2698
exit  1 2696
yard  1 2696
one   1 2695
friendship  1 2695
holmes  1 2694
knox  1 2693
wharf   1 2690
manor drive   2 2689
wheeler   1 2688
hickory street  2 2687
gulch   1 2685
creek church  2 2683
ridgeway  1 2681
town road   2 2678
raymond   1 2677
misty   1 2675
colorado  1 2669
burns   1 2665
b street  2 2665
credit  1 2659
kitchen   1 2657
gulf  1 2656
lime  1 2656
oil   1 2653
west county road  3 2652
clayton   1 2651
melrose   1 2650
coach   1 2647
